snum,abvr,roi,lobe,isSideLeft,roiNum,cmap_R,cmap_G,cmap_B
1,Tha_L,Left-Thalamus-Proper,Subcortical,1,10,0,0.462745098039216,0.0549019607843137
2,Cau_L,Left-Caudate,Subcortical,1,11,0.47843137254902,0.729411764705882,0.862745098039216
3,Put_L,Left-Putamen,Subcortical,1,12,0.925490196078431,0.0509803921568627,0.690196078431373
4,Pal_L,Left-Pallidum,Subcortical,1,13,0.0470588235294118,0.188235294117647,1
5,Hip_L,Left-Hippocampus,Subcortical,1,17,0.862745098039216,0.847058823529412,0.0784313725490196
6,Amy_L,Left-Amygdala,Subcortical,1,18,0.403921568627451,1,1
7,Acc_L,Left-Accumbens-area,Subcortical,1,26,1,0.647058823529412,0
8,Tha_R,Right-Thalamus-Proper,Subcortical,0,49,0,0.462745098039216,0.0549019607843137
9,Cau_R,Right-Caudate,Subcortical,0,50,0.47843137254902,0.729411764705882,0.862745098039216
10,Put_R,Right-Putamen,Subcortical,0,51,0.925490196078431,0.0509803921568627,0.690196078431373
11,Pal_R,Right-Pallidum,Subcortical,0,52,0.0509803921568627,0.188235294117647,1
12,Hip_R,Right-Hippocampus,Subcortical,0,53,0.862745098039216,0.847058823529412,0.0784313725490196
13,Amy_R,Right-Amygdala,Subcortical,0,54,0.403921568627451,1,1
14,Acc_R,Right-Accumbens-area,Subcortical,0,58,1,0.647058823529412,0
15,Bkst_L,ctx-lh-bankssts,Temporal,1,1001,0.0980392156862745,0.392156862745098,0.156862745098039
16,CaACg_L,ctx-lh-caudalanteriorcingulate,Cingulate,1,1002,0.490196078431373,0.392156862745098,0.627450980392157
17,CaMFr_L,ctx-lh-caudalmiddlefrontal,Frontal,1,1003,0.392156862745098,0.0980392156862745,0
18,Cun_L,ctx-lh-cuneus,Occipital,1,1005,0.862745098039216,0.0784313725490196,0.392156862745098
19,Ethr_L,ctx-lh-entorhinal,Temporal,1,1006,0.862745098039216,0.0784313725490196,0.0392156862745098
20,Fusi_L,ctx-lh-fusiform,Temporal,1,1007,0.705882352941177,0.862745098039216,0.549019607843137
21,InPar_L,ctx-lh-inferiorparietal,Parietal,1,1008,0.862745098039216,0.235294117647059,0.862745098039216
22,InTem_L,ctx-lh-inferiortemporal,Temporal,1,1009,0.705882352941177,0.156862745098039,0.470588235294118
23,IstCg_L,ctx-lh-isthmuscingulate,Cingulate,1,1010,0.549019607843137,0.0784313725490196,0.549019607843137
24,LOcc_L,ctx-lh-lateraloccipital,Occipital,1,1011,0.0784313725490196,0.117647058823529,0.549019607843137
25,LObFr_L,ctx-lh-lateralorbitofrontal,Frontal,1,1012,0.137254901960784,0.294117647058824,0.196078431372549
26,Ling_L,ctx-lh-lingual,Occipital,1,1013,0.882352941176471,0.549019607843137,0.549019607843137
27,MObFr_L,ctx-lh-medialorbitofrontal,Frontal,1,1014,0.784313725490196,0.137254901960784,0.294117647058824
